corename,species,latitude,longitude,d18oc,temp,temp_ann,d18osw
BOFS Core 17K,bulloides,58.0,-16.51,1.54,9.004147720336913,10.242883682250977,0.4366561472415924
BOFS Core 5K,bulloides,50.69,-21.87,0.86,11.273563575744628,12.869616508483887,0.5127182006835938
BOFS Core 8K,bulloides,52.5,-22.07,1.31,10.61460075378418,12.010281562805176,0.4457421898841858
CH 69-K09,bulloides,41.76,-47.35,1.1549999999999998,13.505292320251465,16.335115432739258,0.3699361979961395
CH 73-139C,bulloides,54.64,-16.36,0.91,10.298837089538575,11.900787353515625,0.48784971237182617
CH 73-139C,pachyderma,54.64,-16.36,1.0750000000000002,10.298837089538575,11.900787353515625,0.48784971237182617
CH 77-02,bulloides,52.71,-36.09,1.69,6.435453224182129,8.514214515686035,0.1774383783340454
CH67-19,bulloides,45.75,-3.95,1.47,12.385953903198242,15.424090385437012,0.5030682682991028
CH73-R01,pachyderma,56.32,-11.55,1.2519324386000001,,11.33069133758545,0.4591559171676636
CH73-R02,pachyderma,58.08,-10.72,1.2257721998000002,,10.677102088928223,0.4404231905937195
CH73-R07,pachyderma,59.25,-10.22,1.3585000958000002,,10.168150901794434,0.4343951344490051
CH73-R10,pachyderma,55.6,-14.48,1.298818583,,11.695122718811035,0.48102322220802307
CH73-R11,pachyderma,51.48,-17.68,1.0675299356,,12.875121116638184,0.529803991317749
CH73-R12,pachyderma,50.15,-17.37,0.887172254,,13.168659210205078,0.5503699779510498
CH77-R01,pachyderma,52.28,-35.25,1.4986226699,,8.357094764709473,0.1961231380701065
CH77-R03,pachyderma,57.93,-29.13,1.6687041916400003,,9.098367691040039,0.2873067557811737
CHN 82-20,bulloides,43.5,-29.87,0.2,14.586532974243164,16.74038314819336,0.7318755984306335
CHO 288-54,ruberwhite,17.43,-77.66,-2.125,,27.82318687438965,0.8433324694633484
CS 72-37,bulloides,36.69,12.28,1.07,15.437095832824706,19.007871627807617,1.3275810480117798
CS 72-37,pachyderma,36.69,12.28,0.72,15.437095832824706,19.007871627807617,1.3275810480117798
CS 72-37,ruberwhite,36.69,12.28,0.5,15.437095832824706,19.007871627807617,1.3275810480117798
DGKS 96-06,ruberwhite,28.35,126.353,-2.26,,24.159454345703125,-0.14874902367591858
DGKS9603,ruberwhite,28.15,127.27,-2.3100856,,25.287681579589844,-0.06155930459499359
DSDP 594,ruberwhite,-45.5,174.95,1.59,,10.809340476989746,0.09277549386024475
E11-2,bulloides,-56.0,-115.0,2.28,4.98799991607666,5.704874038696289,-0.2928188443183899
EN32-PC6,ruberwhite,26.95,-91.35,-1.59,,25.496667861938477,0.7341499328613281
ERDC-92,sacculifer,-2.23,157.0,-1.895,29.398216247558594,29.398216247558594,0.2882743775844574
ERDC102BX,ruberwhite,-3.61,161.32,-2.33,,29.28070640563965,0.3195645809173584
ERDC108BX,sacculifer,1.75,160.8,-1.7871428,29.469505310058594,29.469505310058594,0.27443286776542664
ERDC112Bx,sacculifer,-1.63,159.24,-2.0799999,29.33788299560547,29.33788299560547,0.2798185348510742
ERDC123Bx,sacculifer,-0.02,160.42,-1.6833333,29.440954208374023,29.440954208374023,0.29617780447006226
ERDC125Bx,sacculifer,0.0,161.0,-1.57,29.495956420898438,29.495956420898438,0.33443373441696167
ERDC128BX,sacculifer,-0.02,161.43,-1.82,29.495956420898438,29.495956420898438,0.33443373441696167
ERDC129BX,sacculifer,0.01,161.98,-1.89,29.463905334472656,29.463905334472656,0.32852768898010254
ERDC135BX,sacculifer,-0.88,160.99,-1.68,29.440954208374023,29.440954208374023,0.29617780447006226
ERDC136BX,sacculifer,1.1,161.61,-1.73,29.237804412841797,29.237804412841797,0.31435489654541016
ERDC139BX,sacculifer,1.36,162.39,-1.6,29.271440505981445,29.271440505981445,0.34219035506248474
ERDC79Bx,sacculifer,2.79,156.23,-2.31,29.413002014160156,29.413002014160156,0.3183736205101013
ERDC88Bx,sacculifer,-0.05,155.87,-2.23,29.448911666870117,29.448911666870117,0.3208765387535095
ERDC89P,ruberwhite,0.0,155.87,-2.17,,29.448911666870117,0.3208765387535095
ERDC92BX,ruberwhite,-2.23,157.0,-2.44,29.398216247558594,29.398216247558594,0.2882743775844574
ERDC92BX,sacculifer,-2.23,157.0,-2.01,29.398216247558594,29.398216247558594,0.2882743775844574
GC4,ruberwhite,-12.17,121.56,-2.76,,28.570249557495117,0.33095818758010864
GC5,ruberwhite,-12.22,122.12,-2.78,,28.696683883666992,0.33571428060531616
GEOFAR KF21,bulloides,38.0,-29.09,0.0,15.902318954467773,18.50452423095703,0.8889465928077698
GIK12301-5,bulloides,27.05,-15.05,-0.36,18.985352325439454,20.419946670532227,1.1414424180984497
GIK12301-5,ruberwhite,27.05,-15.05,-0.6,18.985352325439454,20.419946670532227,1.1414424180984497
GIK12302-3,bulloides,26.0,-14.67,-0.03,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12302-3,ruberwhite,26.0,-14.67,-0.81,18.3497615814209,19.27301597595215,1.1407256126403809
GIK12303-3,bulloides,26.2,-14.79,-0.19,18.3497615814209,19.27301597595215,1.1407256126403809
